Row;Dim_0;Dim_1=0;Dim_2=0;Dim_3=0;Dim_4=0;Dim_5=0;Dim_6=0;Dim_7=0;Dim_8=0;Dim_9=0;Dim_10=0;Dim_11=0;Dim_12=0;Dim_13=0;Dim_14=0;Dim_15=0;Dim_16;Dim_17;Dim_18;Dim_19;Dim_20;;
25;0,791667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,130919;0,163880;0,291667;0,190625;;
26;0,791667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,075209;0,204013;0,476852;0,157813;;
27;0,802083;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,047170;0,047354;0,080268;0,310185;0,090625;;
28;0,270833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000943;0,069638;0,177258;0,287037;0,210938;;
29;0,583333;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
30;0,281250;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
31;0,739583;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,030641;0,197324;0,402778;0,173438;;
32;0,218750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000943;0,091922;0,135452;0,319444;0,148438;;
33;0,218750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,136490;0,180602;0,384259;0,168750;;
34;0,333333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000755;0,119777;0,147157;0,375000;0,139062;;
35;0,447917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,097493;0,195652;0,375000;0,184375;;
36;0,312500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,175487;0,342809;0,648148;0,203125;;
37;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002453;0,153203;0,200669;0,430556;0,170313;;
38;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,018094;0,264624;0,277592;0,050926;0,953125;;
39;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,014906;0,258496;0,202341;0,050926;0,692188;;
40;0,197917;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
41;0,739583;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,000189;0,136490;0,297659;0,305556;0,335938;;
42;0,802083;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,000189;0,030641;0,113712;0,337963;0,273438;;
43;0,625000;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,018472;0,019499;0,132107;0,217593;0,193750;;
44;0,385417;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,080780;0,173913;0,287037;0,206250;;
45;0,854167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005472;0,075209;0,155518;0,296296;0,181250;;
46;0,541667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002642;0,103064;0,170569;0,351852;0,171875;;
47;0,677083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,097493;0,177258;0,250000;0,232812;;
48;0,541667;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,111978;0,212375;0,421296;0,182813;;
49;0,510417;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,007547;0,111978;0,197324;0,291667;0,231250;;
50;0,500000;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000943;0,097493;0,140468;0,300926;0,160937;;
51;0,562500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,097493;0,168896;0,342593;0,173438;;
52;0,312500;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0,003566;0,164345;0,260870;0,388889;0,240625;;
53;0,552083;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,000755;0,111978;0,096990;0,324074;0,104688;;
54;0,552083;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,000189;0,103064;0,167224;0,351852;0,168750;;
55;0,625000;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001887;0,119777;0,148829;0,324074;0,160937;;
56;0,500000;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,069638;0,133779;0,384259;0,125000;;
57;0,281250;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,000189;0,097493;0,138796;0,282407;0,167188;;
58;0,562500;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,153203;0,312709;0,689815;0,175000;;
59;0,822917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,153203;0,168896;0,384259;0,157813;;
60;0,281250;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,086351;0,148829;0,328704;0,157813;;
61;0,645833;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,041783;0,120401;0,314815;0,132812;;
62;0,604167;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;9,4e-05;0,197772;0,153846;0,393519;0,140625;;
63;0,687500;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,003925;0,108635;0,135452;0,365741;0,132812;;
64;0,885417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,108635;0,128763;0,208333;0,193750;;
65;0,739583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001887;0,091922;0,152174;0,282407;0,182813;;
66;0,802083;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004528;0,069638;0,142140;0,333333;0,148438;;
67;0,739583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003019;0,119777;0,175585;0,439815;0,146875;;
68;0,739583;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0,003566;0,175487;0,182575;0,379630;0,171984;;
69;0,270833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003585;0,080780;0,170569;0,379630;0,160672;;
70;0,635417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004906;0,113092;0,128763;0,333333;0,137500;;
71;0,635417;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002642;0,214485;0,158863;0,310185;0,176563;;
72;0,666667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003774;0,142061;0,220736;0,379630;0,209375;;
73;0,302083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,142061;0,130435;0,310185;0,145312;;
74;0,822917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,125348;0,204013;0,402778;0,181250;;
75;0,718750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004340;0,097493;0,200669;0,314815;0,221875;;
76;0,583333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,113092;0,200669;0,300926;0,231250;;
77;0,583333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001887;0,119777;0,128763;0,245370;0,175000;;
78;0,479167;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,113092;0,162207;0,314815;0,179688;;
79;0,593750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,119777;0,157191;0,319444;0,170313;;
80;0,593750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,103064;0,202341;0,379630;0,190625;;
81;0,364583;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,058496;0,112040;0,199074;0,175000;;
82;0,156250;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;9,4e-05;0,342618;0,423077;0,402778;0,378125;;
83;0,281250;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0,004717;0,142061;0,295987;0,638889;0,176563;;
84;0,572917;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,015472;0,108635;0,107023;0,356481;0,106250;;
85;0,312500;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,142061;0,185619;0,342593;0,189063;;
86;0,562500;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,000566;0,111978;0,123746;0,388889;0,115625;;
87;0,333333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,000566;0,136490;0,175585;0,347222;0,178125;;
88;0,427083;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,108635;0,212375;0,393519;0,193750;;
89;0,260417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
90;0,708333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,178930;0,398148;0,162500;;
91;0,291667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,119777;0,145485;0,379630;0,137500;;
92;0,562500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,197772;0,500000;0,731481;0,265625;;
93;0,562500;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0,014340;0,052925;0,140468;0,310185;0,156250;;
94;0,291667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,147632;0,168896;0,379630;0,159109;;
95;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,009057;0,130919;0,187291;0,310185;0,207813;;
96;0,406250;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,086351;0,155518;0,379630;0,146875;;
97;0,270833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,003208;0,103064;0,240803;0,472222;0,189063;;
98;0,510417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,108635;0,198997;0,402778;0,178125;;
99;0,687500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003925;0,075209;0,195652;0,375000;0,185937;;
100;0,687500;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,000377;0,047354;0,122074;0,259259;0,156250;;
101;0,593750;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,113092;0,173913;0,356481;0,173438;;
102;0,156250;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,275766;0,270903;0,504630;0,200000;;
103;0,322917;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,000472;0,136490;0,172241;0,402778;0,153125;;
104;0,250000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002075;0,119777;0,183946;0,375000;0,176563;;
105;0,750000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,088679;0,058496;0,083612;0,337963;0,087500;;
106;0,802083;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,001321;0,086351;0,167224;0,490741;0,126563;;
107;0,666667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002264;0,030641;0,098662;0,189815;0,160937;;
108;0,739583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004340;0,108635;0,214047;0,379630;0,201609;;
109;0,760417;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,002453;0,064067;0,145485;0,356481;0,145312;;
110;0,500000;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,108635;0,153846;0,370370;0,150000;;
111;0,708333;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,000377;0,136490;0,204013;0,453704;0,165625;;
112;0,218750;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,097493;0,259197;0,337963;0,270312;;
113;0,385417;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,007358;0,119777;0,098662;0,273148;0,121875;;
114;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,237458;0,356481;0,237500;;
115;0,437500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,132075;0,025070;0,001505;0,402778;0,001250;;
116;0,427083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,058491;0,041783;0,018395;0,472222;0,014062;;
117;0,718750;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,006981;0,111978;0,112040;0,305556;0,126563;;
118;0,718750;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,001698;0,111978;0,113712;0,291667;0,132812;;
119;0,302083;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,103064;0,140468;0,337963;0,146875;;
120;0,281250;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,108635;0,188963;0,347222;0,190625;;
121;0,593750;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0,000377;0,111978;0,424749;0,337963;0,439062;;
122;0,666667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,103064;0,220736;0,375000;0,210938;;
123;0,437500;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,103064;0,160535;0,333333;0,168750;;
124;0,645833;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0,000377;0,047354;0,180602;0,300926;0,206250;;
125;0,645833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,113092;0,252508;0,486111;0,193750;;
126;0,645833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002642;0,103064;0,193980;0,379630;0,182734;;
127;0,364583;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003925;0,130919;0,295987;0,550926;0,201563;;
128;0,729167;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,086351;0,200669;0,296296;0,234375;;
129;0,437500;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,111978;0,326087;0,421296;0,281250;;
130;0,437500;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0,004906;0,097493;0,225753;0,393519;0,206250;;
131;0,510417;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,097493;0,202341;0,370370;0,193750;;
132;0,427083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004340;0,058496;0,152174;0,259259;0,195313;;
133;0,562500;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003925;0,041783;0,122074;0,277778;0,150000;;
134;0,541667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005849;0,130919;0,142140;0,356481;0,142188;;
135;0,625000;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,000377;0,208914;0,418060;0,444444;0,343750;;
136;0,375000;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,190635;0,337963;0,196875;;
137;0,458333;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,108635;0,142140;0,379630;0,133906;;
138;0,260417;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0,020755;0,111978;0,145485;0,402778;0,131250;;
139;0,260417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,281337;0,309365;0,458333;0,246875;;
140;0,864583;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,036212;0,225753;0,310185;0,253125;;
141;0,604167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,008113;0,064067;0,095318;0,305556;0,107812;;
142;0,635417;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,000377;0,041783;0,204013;0,337963;0,210938;;
143;0,687500;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,103064;0,178930;0,398148;0,162500;;
144;0,687500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,005283;0,119777;0,172241;0,342593;0,176563;;
145;0,802083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,011887;0,058496;0,090301;0,319444;0,098438;;
146;0,875000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,069638;0,182274;0,356481;0,181250;;
147;0,541667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,047170;0,019499;0,061873;0,203704;0,096875;;
148;0,500000;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,001887;0,086351;0,152174;0,356481;0,151563;;
149;0,000000;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
150;0,197917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,181058;0,257525;0,694444;0,142188;;
151;0,604167;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,153203;0,234114;0,379630;0,220312;;
152;0,572917;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0,004151;0,075209;0,143813;0,277778;0,175000;;
153;0,177083;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,113092;0,197324;0,439815;0,164063;;
154;0,802083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,125348;0,183946;0,421296;0,159375;;
155;0,708333;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,012830;0,119777;0,125418;0,384259;0,117063;;
156;0,531250;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,147632;0,187291;0,527778;0,132812;;
157;0,468750;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,113092;0,177258;0,342593;0,182813;;
158;0,677083;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,136490;0,234114;0,500000;0,173438;;
159;0,677083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,086351;0,225753;0,361111;0,221875;;
160;0,364583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,125348;0,117057;0,402778;0,103125;;
161;0,645833;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,083612;0,314815;0,092187;;
162;0,500000;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0,000377;0,130919;0,225753;0,379630;0,212656;;
163;0,697917;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
164;0,656250;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
165;0,697917;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,003019;0,136490;0,162207;0,425926;0,137500;;
166;0,750000;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,005660;0,103064;0,173913;0,379630;0,163828;;
167;0,583333;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,000189;0,130919;0,132107;0,333333;0,139062;;
168;0,291667;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,002453;0,047354;0,120401;0,250000;0,159375;;
169;0,291667;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,000377;0,047354;0,086957;0,273148;0,109375;;
170;0,791667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,086351;0,137124;0,324074;0,148438;;
171;0,666667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000377;0,130919;0,212375;0,375000;0,201563;;
172;0,635417;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002075;0,091922;0,172241;0,393519;0,157813;;
173;0,354167;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,003566;0,119777;0,132107;0,365741;0,128125;;
174;0,437500;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,111978;0,100334;0,356481;0,100000;;
175;0,385417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000755;0,130919;0,167224;0,439815;0,140625;;
176;0,489583;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0,000189;0,111978;0,195652;0,342593;0,201563;;
177;0,354167;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,004340;0,130919;0,214047;0,435185;0,179688;;
178;0,802083;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
179;0,645833;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,004906;0,069638;0,210702;0,416667;0,184375;;
180;0,531250;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002075;0,147632;0,262542;0,472222;0,206250;;
181;0,697917;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,097493;0,130435;0,277778;0,159375;;
182;0,239583;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0,006226;0,064067;0,113712;0,324074;0,121875;;
183;0,645833;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000755;0,075209;0,188963;0,393519;0,173438;;
184;0,697917;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,119777;0,162207;0,319444;0,176563;;
185;0,625000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002830;0,091922;0,182274;0,356481;0,181250;;
186;0,604167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001321;0,086351;0,212375;0,416667;0,185937;;
187;0,583333;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,001887;0,086351;0,118729;0,370370;0,114063;;
188;0,583333;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,119777;0,247492;0,388889;0,229688;;
189;0,604167;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004340;0,108635;0,120401;0,240741;0,164063;;
190;0,250000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000566;0,169916;0,212375;0,379630;0,200047;;
191;0,250000;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000755;0,125348;0,175585;0,356481;0,175000;;
192;0,312500;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0,003566;0,158774;0,262542;0,583333;0,170313;;
193;0,364583;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003566;0,111978;0,155518;0,273148;0,192187;;
194;0,739583;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0,000755;0,111978;0,307692;0,495370;0,231250;;
195;0,500000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,136490;0,178930;0,421296;0,153125;;
196;0,729167;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,075209;0,197324;0,324074;0,212500;;
197;0,343750;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,214485;0,331104;0,550926;0,226562;;
198;0,291667;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,000189;0,169916;0,234114;0,740741;0,121875;;
199;0,708333;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,130919;0,118729;0,370370;0,114063;;
200;0,708333;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;9,4e-05;0,142061;0,152174;0,328704;0,162500;;
201;0,531250;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001321;0,108635;0,138796;0,333333;0,146875;;
202;0,322917;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0,000943;0,164345;0,275920;0,763889;0,140625;;
203;0,322917;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,000189;0,103064;0,207358;0,273148;0,251563;;
204;0,750000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001887;0,086351;0,123746;0,296296;0,143750;;
205;0,750000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,097493;0,225753;0,375000;0,215625;;
206;0,750000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,108635;0,317726;0,393519;0,290625;;
207;0,291667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,119777;0,138796;0,402778;0,121875;;
208;0,520833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,045283;0,019499;0,001672;0,379630;0,001563;;
209;0,687500;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003585;0,111978;0,250836;0,444444;0,207813;;
210;0,250000;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,009245;0,111978;0,120401;0,347222;0,121875;;
211;0,322917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,004528;0,111978;0,095318;0,152778;0,182813;;
212;0,322917;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9,4e-05;0,075209;0,229097;0,328704;0,242188;;
